country_name,target,target_description,tables
Türkiye,CAT rating of targets,"The CAT rates NDC targets against each country’s fair share contribution to global climate change mitigation, considering a range of equity principles including responsibility, capability, and equality. The CAT also rates NDC targets against indicative national emissions from global least-cost emissions pathways (called modelled domestic pathways ). For assessing targets against the fair share, we consider both a country’s domestic emission reductions and any emissions it supports abroad through the use of market mechanisms or other ways of support, as relevant. The CAT rates Türkiye’s updated NDC target as “Critically insufficient” when rated against both modelled domestic pathways and against its fair share contribution. Türkiye has one NDC target. It has not specified whether a portion of the target is conditional on international support or whether its NDC has an international element, so we rate its NDC target against both modelled domestic pathways and fairness metrics. Further information on how the CAT rates countries (against modelled domestic pathways and fair share) can be found here . We rate Türkiye’s updated NDC target as “Critically insufficient” when compared with modelled domestic pathways. The “Critically insufficient” rating indicates that Türkiye’s 2030 target reflects minimal to no action and is not at all consistent with limiting warming to 1.5°C. If all countries were to follow Türkiye’s approach, warming would exceed 4°C. Türkiye is on track to achieve this target based on our emissions estimate for 2030 under current policies, which further highlights the weakness of this target as it will not drive real-world emission reductions. We rate Türkiye’s updated NDC target as “Critically insufficient” when compared with its fair share contribution to climate action. The “Critically insufficient” rating indicates that Türkiye’s 2030 target reflects minimal to no action and is not at all consistent with its fair share of the global mitigation effort to limiting warming to 1.5°C. Türkiye’s target is not in line with any interpretation of a fair approach to meeting the 1.5°C temperature limit. If all countries were to follow Türkiye’s approach, warming would exceed 4°C. We do not have sufficient information to assess Türkiye’s climate finance contribution. Under the UNFCCC, Türkiye is an Annex I country and thus not eligible to receive climate finance through the Green Climate Fund (GCF). Our methods do not provide a clear answer for the need for finance for Türkiye. On balance, the CAT methodology shows that Türkiye should receive limited climate finance, if any. Our approach would not expect Türkiye to provide climate finance to other countries. Further information on how the CAT rates countries (against modelled pathways and fair share) can be found here .",
Türkiye,Net zero and other long-term target(s),"In 2021, Türkiye announced a 2053 net zero target. Since then, Türkiye’s Climate Council released a roadmap to achieve net zero emissions and the government developed a draft climate law. Türkiye was expected to submit a long-term strategy (LTS) to the UNFCCC in 2022, but has not done so. It is now expected to release it at COP29 (Türkiye Today, 2024b). We evaluate the target as: “Poor”. The full net zero target analysis can be found here .",
Türkiye,2020 pledges,Turkey did not submit a 2020 target under the Copenhagen Accord .,
The Gambia,CAT Rating,"High resolution The CAT rates NDC targets against what a fair contribution to limiting warming to 1.5°C would be, as well as against what needs to happen within a country’s own borders. The Gambia will need international support to achieve the required reductions within its borders. The Gambia’s NDC target includes a portion that is unconditional, that it will achieve using its own resources. We rate that portion against its fair share contribution. The full NDC target will require international support to achieve and we rate that against the level of reductions needed within The Gambia’s border (which we refer to as its ‘conditional NDC target’). Further information on how the CAT rates countries (against modelled pathways and fair share) can be found here . The CAT rates The Gambia’s NDC target as “Almost sufficient” against modelled domestic pathways. The “Almost sufficient” rating indicates that The Gambia’s NDC target in 2030 is not yet consistent with limiting warming to 1.5°C but could be, with moderate improvements. If all countries were to follow The Gambia’s approach, warming could be held below—but not well below—2°C. We rate The Gambia’s unconditional NDC target as “1.5°C compatible”. The “1.5°C compatible” rating indicates that The Gambia’s fair share target is consistent with limiting warming to 1.5°C. The Gambia’s unconditional NDC target does not require other countries to make comparably deeper reductions or greater effort, and is in the most stringent part of its fair share range. The portion of its NDC that The Gambia will achieve unconditionally using its own resources is above our current policy projections for The Gambia, making it unlikely that these actions will drive further emissions reductions.",
The Gambia,Net zero and other long-term targets,"In September 2022, The Gambia submitted its Long-Term Strategy (LTS) for climate neutral development by 2050. Though the LTS provides a comprehensive plan for reaching net zero GHG emission by 2050, it does not provide transparent quantifiable targets for how The Gambia will switch its LULUCF sector from a net carbon source to a net carbon sink by 2050 nor does it cover all GHG emissions. The CAT rates The Gambia’s net zero target as “Poor”. The full analysis is here .",
Thailand,CAT rating of targets,"High resolution The CAT rates NDC targets against what a fair contribution to achieving the Paris Agreement’s long-term temperature goal would be as well as against what needs to happen within a country’s own borders. Thailand has put forward two targets in its NDC. One that it will achieve using its own resources and one that requires international support. We rate the country’s unconditional target against its fair share contribution (‘Unconditional NDC target against fair share’) and its conditional target against the level of reductions needed within its border (‘conditional NDC target against modelled domestic pathways’). We rate Thailand’s 2030 conditional target as “Insufficient”. The “Insufficient” rating indicates that Thailand’s conditional NDC target in 2030 is not yet consistent with the 1.5°C temperature limit, and is associated with a 3 °C-compatible trajectory, when compared to modelled domestic pathways. We rate Thailand’s unconditional NDC target “Critically insufficient” when compared to its fair share. Thailand’s unconditional targets remain based on an inflated BAU that is significantly higher than its current and planned policy projections, even before the onset of COVID-19. Economic trends post-pandemic now lends even more weight to the possibility that the BAU is unrealistic and should be revised downward, with a corresponding strengthening of its emissions reduction targets. If all countries were to follow Thailand ’s current approach, warming would exceed 4°C. Further information on how the CAT rates countries (against Modelled domestic pathways and Fair share) can be found here .",
Thailand,Net zero and other long-term target(s),"Thailand submitted its revised Long-term Low Greenhouse Gas Emission Development Strategy on 7 November, 2022, which moved the ‘carbon neutrality’ target forward to 2050 and committed to ‘net zero’ emissions by 2065 (ONEP, 2022). This represents an accelerated target from its original ‘carbon neutrality’ target for 2065 submitted to the UNFCCC in October 2021 (Thailand Government, 2021). We evaluate the net zero target as: Average. For details on the analysis, see the Net zero tab .",
Thailand,2020 pledge,"The target of a GHG emissions reduction of 7–20% below BAU in the energy and transport sectors had been included in Thailand’s NAMAs and Climate Change Master Plan (Ministry of Natural Resources and Environment, 2014, 2015). The measures included mitigation actions in the energy and transport sectors. The 3rd Biennial Update Report notes that in 2018, Thailand had achieved a GHG emissions reduction of 15.76% under its BAU (Ministry of Natural Resources and Environment, 2020b). The CAT calculates Thailand’s 2020 BAU reference to be 470 MtCO 2 e and its GHG emissions reduction targets to be around 375 to 435 MtCO 2 e/year in 2020. According to CAT analysis, Thailand overachieved this goal due to the economic downturn caused by COVID-19, although it was on track to be within the range pre-COVID as well.",
Switzerland,CAT rating of targets,"The CAT rates NDC targets against each country’s fair share contribution to global climate change mitigation, considering a range of equity principles including responsibility, capability, and equality. The CAT also rates NDC targets against indicative national emissions from global least-cost emissions pathways (called modelled domestic pathways ). For assessing targets against a fair share, we consider both a country’s domestic emissions reductions and any emissions reductions it supports abroad through the use of market mechanisms or other ways of support, as relevant. Switzerland has clearly stated that it will achieve a portion of emission reductions to meet its NDC target through the use of mitigation outcomes sourced from abroad. To rate Switzerland’s NDC target, we assess a domestic component of its NDC against what needs to happen within its border based on modelled domestic pathways and the full NDC target (reduction achieved both domestically and abroad) against what a fair contribution would be. Switzerland, however, has not communicated a domestic share of its 2030 target in its NDC. Instead, it has remained vague on the extent to which its NDC target will be achieved through domestic reductions. In earlier amendments of the CO2 Act, Switzerland had proposed a domestic share target of at least 75% of the full target by 2030 below 1990 (Schweizer Parlament, 2020). In a follow-up amendment of the CO 2 Act (known as Succession Act) of 2021, however, it included a targeted 67% reduction of the full target (Der Bundesrat, 2021). This has since been replaced by vague comments stating that “The reduction of greenhouse gas emissions is primarily achieved with measures within Switzerland. The Federal Council determines the share.” (Bundesgesetz Über Die Reduktion Der CO 2 -Emissionen (CO 2 -Gesetz) (Entwurf), 2022). This wording has remains the same in the current draft of 2024 (Bundesgesetz Über Die Reduktion Der CO 2 -Emissionen (CO 2 -Gesetz), 2024). In January to March 2024, the matter was discussed in commissions in both chambers of Parliament with proposals for 75% and 70% (of the full target) on the table, but all proposals were rejected. Consequently, the Environment Minister Albert Rösti promised that he would propose a 67% share to the Federal Council (Das Schweizer Parlament, 2024). Other official messages imply that at least 30% of emissions reductions (60% of the 50%) will be targeted domestically. To rate Switzerland’s NDC we have therefore had to make assumptions on the domestic component. A range between 30%, which seems to be the current consensus to aspire for (Botschaft Zur Revision Des CO 2 -Gesetzes Für Die Zeit Nach 2024, 2022) and 33%, which was removed from previous drafts for unknown reasons (Der Bundesrat, 2021) and was “promised” by the Environment Minister (Das Schweizer Parlament, 2024) seem to be where Switzerland is realistically headed and was thus assessed here. The lack of specificity regarding the proportion of emissions that Switzerland intends to reduce domestically versus abroad is problematic, as it becomes difficult to assess the effectiveness of its overall emissions reduction strategy. This makes it challenging to hold Switzerland accountable for its emission reduction commitments. Equally, the lack of transparency raises questions about the sincerity of Switzerland's commitment. It is important for governments to provide transparent information on their emission reduction plans, as reducing GHG emissions is a global effort and trust and international cooperation are key. Switzerland intends to achieve the remaining target through Internationally Transferred Mitigation Outcomes (ITMOs). Since October 2020, Switzerland has signed bilateral agreements with several countries including Peru, Ghana, Senegal, Georgia, Vanuatu, Dominica, Thailand, Ukraine, Morocco, Malawi, Uruguay, Chile and Tunisia, which establish means of cooperation on the transfer of mitigation outcomes under Article 6 of the Paris Agreement (Schweizerische Eidgenossenschaft, 2024). While developed countries have to support mitigation in less developed countries, there is a more constructive way to pursue bilateral cooperation, which is climate finance. Governments should prioritise fulfilling their fair share of climate finance contributions before transferring mitigation outcomes supported abroad (Warnecke et al., 2021). To effectively address all these concerns, Switzerland should provide a clear and detailed NDC with deep emission reductions domestically, and provide sufficient climate finance. The CAT rates Switzerland’s estimated domestic target as “Almost sufficient” and its overall NDC target compared with its fair-share emissions allocation as “Insufficient.” We rate the estimated domestic component of Switzerland’s 2030 emissions target, a 30% to 33% reduction below 1990 levels, as “Insufficient” when compared with modelled domestic pathways. The “Insufficient” rating indicates that Switzerland’s domestic component of its NDC target in 2030 needs substantial improvement to be consistent with modelled domestic pathways limiting warming to 1.5°C. If all countries were to follow Switzerland’s approach, warming would reach over 2°C and up to 3°C. We rate Switzerland’s overall NDC target as “Insufficient” when compared with its fair-share emissions allocation. The “Insufficient” rating indicates that Switzerland’s NDC target needs substantial improvements to be consistent with its fair share of the global mitigation effort to limit warming to 1.5°C . Switzerland’s target is at the least stringent end of what would be a fair share of global effort, and is not consistent with the 1.5°C limit, unless other countries make much deeper reductions and comparably greater effort. If all countries were to follow Switzerland’s approach, warming would reach up to 3°C. Switzerland’s international climate finance is rated “Insufficient” (see below) and is not enough to improve Switzerland’s fair share rating. Switzerland’s international public climate finance contribution is rated “Insufficient”. Switzerland has committed to increase its climate finance and, despite a steady annual increase leading to USD 411m in 2020, its contributions to date have been low compared to its fair share. In 2020 Switzerland additionally mobilised USD 106m from the private sector and increased its specific support for bilateral adaptation activities to USD 129m (Swiss Federal Office for the Environment, 2022). Climate finance contributions fall short of Switzerland’s fair share contribution to the USD 100bn goal but show an increasing trend. Several recent developments indicate a commitment to international climate finance. Switzerland is one of the only countries that has explicitly prioritised an equal distribution of adaptation and mitigation funding for public bilateral financing (Alliance Sud, 2020). Other decisions that lead to the upward trend are the increase of the level of official development assistance to 0.5 per cent of gross national income, the gradual shift of development assistance to place an enhanced focus on climate change, and the new strategy for international development cooperation 2021–2024, which provides for an increase in funding for climate change mitigation and adaptation to CHF 400 m (approximately USD 426 m) per year by 2024 (Swiss Federal Office for the Environment, 2022). Switzerland remains committed to the USD 100bn goal in climate finance for developing countries per year through 2025, and it considers multilateral mobilised private climate finance as well as the full-face value of the climate finance outflow of multilateral institutions as climate finance accountable towards the 100 billion US dollars goal. Based on Switzerland's economic performance and the polluter-pays principle, the Swiss government estimates its fair share of international finance contributions to be around CHF 450-600m (Federal Council of Switzerland, 2017). This is close to its current investments; however, civil society organisations recommend a fair share of around CHF 1 bn per year (Alliance Sud, 2020). In addition, the USD 100bn goal itself is insufficient for the post-2020 period, and the scale of financial contributions would remain insufficient to increase Switzerland’s CAT climate finance rating. A clear and sustained increase in international climate mitigation finance is therefore needed. To fulfil the non-domestic component of its emissions reduction target, Switzerland is one of only a few countries that officially intends to achieve part of its NDC target through Internationally Transferred Mitigation Outcomes (ITMOs) on the basis of Article 6 of the Paris Agreement and has already signed bilateral agreements. Switzerland has signed bilateral carbon credit agreements with Peru, Ghana, Senegal, Georgia, Vanuatu, Dominica, Thailand, Ukraine, Morocco, Malawi, Uruguay, Chile, and Tunisia (Schweizerische Eidgenossenschaft, 2024). These developments are not rated in the finance component of the CAT rating. Instead, the full international NDC, that includes such agreements, is rated against Switzerland’s fair share goal - and rated “Insufficient”. To align with the sentiment of “highest possible ambition”, Switzerland must first set its domestic NDC within at least an “Almost sufficient” range. Although not transparently communicated (see NDC target), the estimated domestic share in Switzerland lies outside this threshold. As a second step, the country would have to provide its fair share of climate finance. This should be prioritised before purchasing credits and accounting the associated emission reductions. As Switzerland is not providing its fair share of international climate finance, the CAT does not consider it legitimate to offset for the fair share rating. Nevertheless, the CAT does acknowledge the transparency of Switzerland’s credit purchase agreements. Further information on how the CAT rates countries (against modelled pathways and fair share) can be found here .",
Switzerland,Net zero and other long-term target(s),"Switzerland committed to a net-zero target as part of its long-term strategy submitted to the UNFCCC in January 2021, and in June 2023, in the public referendum on Switzerland's Climate Protection Act, Switzerland's net-zero target was enshrined into law (Bundesgesetz Über Die Ziele Im Klimaschutz, Die Innovation Und Die Stärkung Der Energiesicherheit (KlG), 2023). The net-zero target generally covers key elements and now meets good practice for many of them. Switzerland’s net-zero target covers all sectors and gases underpinned by emissions pathway analysis and the communication of clear strategic goals and emissions targets per sector. It also now covers emissions from fuels for international aviation and shipping that are refuelled in Switzerland. The proposed measures aim to achieve net zero on Switzerland’s own territory, but it reserves the right to use international offset credits, even if only for technically unavoidable domestic emissions. Switzerland's new Climate Protection Act, which was accepted in a referendum in June 2023, introduced interim and sectoral targets and requires the parliament to develop periodic roadmaps for achieving the target (Bundesgesetz Über Die Ziele Im Klimaschutz, Die Innovation Und Die Stärkung Der Energiesicherheit (KlG), 2023). Because of these improvements across several key elements, the CAT now evaluates the scope, architecture, and transparency of Switzerland’s net-zero target as ‘Acceptable’. For the full analysis click here .",
South Korea,CAT rating of targets,"High resolution South Korea has clearly stated the extent to which its NDC target will be achieved through domestic reductions and the portion of emission reductions that will be achieved through the support of action abroad. We rate the domestic component of its NDC against what needs to happen within its border based on modelled domestic pathways and the full NDC target (reduction achieved both domestically and abroad) against what a fair contribution would be. We rate South Korea’s domestic target for 2030 as “Insufficient” when compared modelled domestic pathways. The “Insufficient” rating indicates that South Korea’s domestic target in 2030 needs substantial improvements to be consistent with the Paris Agreement’s 1.5°C temperature limit. If all countries were to follow South Korea’s approach, warming would reach over 2°C and up to 3°C. We rate South Korea’s overall NDC target (including the domestic and the international element) as “Highly insufficient” when compared with its fair-share contribution to climate action. The “Highly insufficient” rating indicates that South Korea’s fair share target in 2030 leads to rising, rather than falling, emissions and is not in line with any interpretation of a fair approach to meeting the Paris Agreement’s 1.5°C limit. If all countries were to follow South Korea’s approach, warming could reach over 3°C and up to 4°C.",
South Korea,Net zero and other long-term target(s),"We evaluate the net zero target as: Average. After former President Moon Jae-in announced South Korea’s goal of becoming carbon neutral by 2050, the government also included this commitment in its updated NDC and its Long-Term Strategy (Republic of Korea, 2020, 2021a). The carbon neutrality target is enshrined in law through the Carbon Neutrality Act, which was passed in August 2021 (Ministry of Environment, 2021) and enforced in March 2022 (Ministry of Environment, 2022b). In October 2021, South Korea published two carbon neutrality scenarios that are leading to net zero emissions in 2050 (Republic of Korea, 2021c). Both scenarios aim for coal phase out before 2050 but remain unclear about the exact phase out year. One of the scenarios maintains a share of natural gas, while the other one phases out gas by 2050 as well. South Korea is still not explicit in its coverage of GHGs, and the target review process lacks detail. For the full analysis click here .",
South Korea,2020 pledge,"Under the Copenhagen Accord, South Korea agreed to reduce its emissions by 30% below business-as-usual (BAU) emissions by 2020. It proposed this unconditional target in November 2009 and submitted it to the Copenhagen Accord on 25 January 2010. Under the BAU projections from the Third National Communication, the 2020 pledge would have resulted in emissions of 551 MtCO 2 e/year excluding LULUCF (equivalent to 83% above 1990 emission levels). Emissions in 2020 exceeded this target by around 21% at 670 MtCO 2 e excluding LULUCF.",
South Africa,CAT rating of targets,"We rate the 2030 reduction target as “Almost sufficient” when compared to modelled emissions pathways. The “Almost sufficient” rating indicates that South Africa’s NDC target in 2030 is not yet consistent with the 1.5°C temperature limit but could be with moderate improvements. If all countries were to follow South Africa’s approach, warming could be held at—but not well below—2°C. The CAT rates South Africa’s reduction target based on the upper range of its target, which falls in the “Almost sufficient” range, even if close to the limit to “1.5°C compatible”. If South Africa were to meet the lower end of the range it would be 1.5°C compatible when compared to modelled emissions pathways; however, it would still fall short of its fair-share contribution. South Africa currently relies on foreign investments and international finance support to implement a large percentage of its climate change programmes, and the government also emphasises in its updated NDC that the implementation of its NDC will be enabled by financial support as specified in the Paris Agreement. We rate South Africa’s 2030 NDC target as “Insufficient” when compared with its fair-share contribution to climate action. The “Insufficient” rating indicates that South Africa’s target needs substantial improvements to be consistent with limiting warming to 1.5°C. The target is at the least stringent end of what would be a fair share of global effort, and is not consistent with the 1.5°C limit, unless other countries make much deeper reductions and comparably greater effort. If all countries were to follow South Africa’s approach, warming would reach over 2°C and up to 3°C. CAT interprets the full NDC target as unconditional. As South Africa only needs to reach its upper end of the target range to fulfil the NDC, we rate that emissions level. If South Africa committed to meeting the lower end of its target range, the rating would change to “Almost sufficient” when compared to the fair share contribution. Further information on how the CAT rates countries (against modelled pathways and fair share) can be found here .",
South Africa,Net zero and other long-term target(s),"The 2021 updated NDC no longer refers to a peak-plateau-decline (PPD) trajectory. The previous peak-plateau-decline (PPD) trajectory, outlined in South Africa’s South Africa’s Copenhagen Accord pledge, foresaw South Africa reducing GHG emissions to 212–428 MtCO 2 e by 2050 including LULUCF (Department of Environmental Affairs, 2018; Government of South Africa, 2010). South Africa’s Long-Term Strategy submitted to the UNFCCC in October 2020 still refers to this PPD trajectory as a benchmark “in the absence of an agreed quantitative articulation of the vision” (Republic of South Africa, 2020). The CAT no longer considers the previous 2050 target range an official long-term target for South Africa given it is no longer mentioned in the 2021 updated NDC and merely used as a benchmark in the LTS of 2020. South Africa first stated its intention to commit to a net zero CO 2 target (“net zero carbon emissions”) by 2050 as part of a visionary statement in its LTS (Republic of South Africa, 2020). In this context, the National Planning Commission is in the process of developing a common vision for South Africa in 2050 and will subsequently update its Low-Emission Development Strategy. The Just Transition Framework, released by the Presidential Climate Commission in June 2022 and approved by the Cabinet in September 2022, refers to reaching “net-zero greenhouse gas emissions by 2050” (Government of South Africa, 2022b; Presidential Climate Commission, 2022). Given its preliminary nature, and the lack of more detailed information, the CAT currently does not evaluate South Africa’s net zero target. The CAT will do so once further information is communicated by the government.",
Singapore,CAT rating of targets,"The CAT rates NDC targets against each country’s fair share contribution to global climate change mitigation, considering a range of equity principles including responsibility, capability, and equality. The CAT also rates NDC targets against indicative national emissions from global least-cost emissions pathways (called modelled domestic pathways). For assessing targets against the fair share, we consider both a country’s domestic emissions reductions and any emissions it supports abroad through the use of market mechanisms or other ways of support, as relevant. Singapore has indicated that it may use market mechanisms to achieve its target but has not provided any details on the extent of such usage. In the absence of any clarity on the extent of usage, we have rated its NDC target against both domestic and fairness metrics. While CAT modelled domestic pathways do not reflect Singapore’s particularly low domestic RE potential, these pathways do reflect the rapid decarbonisation in the Southeast Asian region that Singapore should follow, if not lead. Given its context, Singapore can play an even larger role in driving regional decarbonisation and energy collaboration. The CAT rates Singapore's NDC target as ""Highly insufficient"" when compared against modelled domestic pathways. The “Highly insufficient” rating indicates that Singapore’s domestic target in 2030 leads to rising, rather than falling, emissions and is not at all consistent with limiting warming to 1.5°C. If all countries were to follow Singapore’s approach, warming could reach over 3°C and up to 4°C. The CAT also rates Singapore's NDC target as ""Highly insufficient"" when rated against its fair share contribution. The “Highly insufficient” rating indicates that Singapore’s NDC target in 2030 leads to rising, rather than falling, emissions and is not at all consistent with limiting warming to 1.5°C. Singapore’s target is not in line with any interpretation of fairness. If all countries were to follow Singapore’s approach, warming could reach over 3°C and up to 4°C. Further information on how the CAT rates countries (against modelled domestic pathways and fair share) can be found here .",
Singapore,Net zero and other long-term target(s),"Singapore has committed to net zero GHG emissions by 2050 as part of its Long-Term Low Emissions Development Strategy (LT-LEDS) (National Climate Change Secretariat, 2020, 2022). In its initial Strategy, submitted in 2020, it had set the target year as ‘as soon as viable in the second half of the century’ (National Climate Change Secretariat, 2020). It amended the target year in its 2022 addendum to the strategy, bringing it forward to 2050. Singapore has outlined detailed sector-specific policies and measures targeting power, industry, transport, building and waste, but its Strategy does not provide details on the mitigation potential of those measures, outline an emissions pathway to net zero, nor provide any detail on the extent to which carbon capture, utilisation and storage (CCUS) will be used to achieve the target. The Strategy outlines its support for measures taken to address emissions from international aviation and shipping, though these sectors are not specifically included in its target. No review processes have been established for Singapore’s long-term target. Our full net zero target analysis is here .",
Saudi Arabia,CAT rating of targets,"The CAT rates Saudi Arabia’s NDC target as “Critically insufficient” when compared to modelled domestic pathways. This rating indicates that Saudi Arabia’s NDC target in 2030 reflects minimal to no action and is not at all consistent with modelled domestic pathways limiting warming to 1.5°C. If all countries were to follow Saudi Arabia’s approach, warming would exceed 4°C. Saudi Arabia's NDC rating against modelled domestic pathways has deteriorated compared to our previous assessment due to an update in our modelled domestic pathways to the pathways assessed in the AR6. This latest evidence shows that Saudi Arabia requires lower 2030 emissions to be consistent with a 4°C compatible pathway. As a result, its NDC rating is no longer “Highly insufficient” and falls into the “Critically Insufficient” range. Our newer pathways better capture national circumstances - including the recent plateauing in Saudi Arabia's emissions - and for higher temperature levels show less room for emissions growth than the previous set. The CAT rates Saudi Arabia’s NDC target against fair share as “Critically insufficient”. This rating indicates that Saudi Arabia’s NDC target reflects minimal to no action and is not at all consistent with its fair share of the global mitigation effort to limit warming to 1.5°C. If all countries were to follow Saudi Arabia’s approach, warming would exceed 4°C. Further information on how the CAT rates countries (against modelled domestic pathways and fair share) can be found here .",
Saudi Arabia,Net zero and other long-term target(s),"We evaluate the target as: Poor. Saudi Crown Prince Mohammed bin Salman announced Saudi Arabia’s net zero target for 2060 at the first Saudi Green Initiative Forum in October 2021 (Kingdom of Saudi Arabia, 2021d). However, the target has yet to be enshrined in law, or in a policy document. As of October 2023, Saudi Arabia has not submitted a long-term strategy to the UNFCCC. Since its initial announcement in 2021, the Saudi government has not provided any further detailed information on scope, target architecture, or transparency. Saudi Arabia has not yet provided a clear emissions reduction pathway to net zero (Kingdom of Saudi Arabia, 2021a). The target’s emission coverage remains unclear with the CAT currently assuming that only CO 2 emissions are being covered based on scarce available information. Saudi Arabia intends to reach its net zero target through the Circular Carbon Economy approach, which relies on the use of CCS. The national oil company Saudi Aramco has committed to reaching net zero operational emissions in 2050. However, most oil and gas emissions come from the combustion of fossil fuels, not their production. Saudi Arabia and Aramco’s net zero targets do not take into account emissions resulting from oil and gas exports. They also do not consider the economic risks associated with a continued reliance on fossil fuels exports in a net zero world (for further details, see the “Oil production” section under “Energy supply” here ). For the full analysis click here .",
Russian Federation,CAT rating of targets,"The CAT rates NDC targets against what a country should be doing within its own borders as well as what a fair contribution to limiting warming to 1.5°C would be. For assessing NDC targets against the fair share, we consider both a country’s domestic emission reductions and any emissions it supports abroad through the use of market mechanisms or other ways of support, as relevant. The CAT rates Russia's NDC target as ""Highly insufficient"" when rated against modelled domestic pathways, and ""Critically insufficient"" when rated against its fair share contribution. We assess Russia’s total fair share contribution by considering its emissions reduction target and its climate finance. Russia’s climate finance is not sufficient to improve the fair share rating. The CAT rates Russia’s updated NDC 2030 emissions target, at least a 30% reduction below 1990 levels (incl. LULUCF), as “Highly insufficient” when compared with modelled domestic emissions pathways. The “Highly insufficient” rating indicates that Russia’s domestic target in 2030 leads to rising, rather than falling, emissions and is not at all consistent with limiting warming to 1.5°C. If all countries were to follow Russia’s approach, warming could reach over 3°C and up to 4°C. We rate Russia’s updated 2030 NDC target as “Critically insufficient” when compared with its fair share emissions allocation. The “Critically insufficient” rating indicates that Russia’s target, compared to what its fair share would be in 2030, reflects minimal to no action and is not at all consistent with limiting warming to 1.5°C. Russia’s target is not in line with any interpretation of fairness. Substantial improvements are needed. Some of these improvements should be made to the NDC target itself, others could come in the form of additional support for emissions reductions achieved in developing countries in the form of finance. If all countries were to follow Russia’s approach, warming would exceed 4°C. Russia’s international climate finance is rated as “Critically insufficient” (see below) and is not enough to improve Russia’s fair share rating. Russia’s international public finance contributions are rated as “Critically insufficient”. Russia has not made any substantial contribution to international climate finance since the adoption of the Paris Agreement. To improve its rating, Russia needs to urgently both increase its financial contributions and stop funding fossil fuels abroad. As of August 2022, Russia committed USD 3m in climate finance to the Green Climate Fund in the initial resource mobilisation (IRM) round and USD 10m in the first replenishment round, which lasts until 2023 (Green Climate Fund, 2022). Even considering these commitments, contributions remain critically insufficient considering the size of Russia’s economy and its historical responsibility. Russia actively finances fossil fuels abroad. From 2013 to 2019, Russia sent USD 1.5bn in public finance to countries in Africa and the Middle East to support fossil fuel projects (Ferris, 2021) including coal, such as in the Long Phu Coal Plant in Vietnam (Ferris, 2021; Global Energy Monitor, 2022). Further information on how the CAT rates countries (against modelled domestic pathways and fair share) can be found here .",
Russian Federation,Net zero and other long-term target(s),"Russia approved its ‘Strategy of socio-economic development of the Russian Federation with low greenhouse gas emissions by 2050’ in October 2021 and submitted it to the UNFCCC in September 2022 as its long-term climate strategy (LTS) (Russian Federation, 2021a, 2022c). As part of this strategy, Russia has committed to reaching net zero greenhouse gas (GHG) emissions by 2060. The strategy also includes a target to reduce GHG emissions by 80% below 1990 levels by 2050, leaning heavily on negative emissions from the LULUCF sector, which are projected to more than double between 2030 and 2050, from -539 MtCO 2 e to -1,200 MtCO 2 e. The enormous increase in negative emissions achieved through the land use, land use change and forestry (LULUCF) sector means that steep reductions in emissions from the combustion of fossil fuels would not be necessary to achieve net zero emissions. The steep increase in negative emissions raises questions as to the viability of Russia’s planned approach to reach net zero emissions given emissions from fossil fuel combustion are projected to remain high until 2050. We evaluate the target as “Poor”. For the full analysis click here .",
Philippines,CAT rating of targets,"The CAT rates NDC targets against what a fair contribution to achieving the Paris Agreement’s 1.5°C temperature limit would be, as well as against what needs to happen within a country’s own borders. The Philippines will need international support to achieve the required reductions within its borders. The Philippines’s NDC target includes a portion that is unconditional, that it will achieve using its own resources. We rate that portion against its fair share contribution. The full NDC target will require international support to achieve, and we rate that against the level of reductions needed within the Philippines’s border. Further information on how the CAT rates countries (against modelled domestic pathways and fair share) can be found here . The “1.5°C global least cost” rating indicates that Philippines’ conditional target is consistent with limiting warming to 1.5°C. This rating compares the Philippines’ conditional target against global least cost 1.5°C modelled domestic emissions pathway. The Philippines’ conditional target does not require other countries to make comparably deeper reductions. However, it does require international support to achieve. The Philippines’ conditional target is estimated to be 96 MtCO 2 e by 2030 (excl. LULUCF). The Philippines’ unconditional mitigation target is inconsistent with a 1.5°C pathway when compared to its fair share contribution. For the target to be aligned with 1.5°C, it would need to reach absolute emissions of 260 MtCO 2 e or below in 2030. We estimate the Philippines’ unconditional domestic target to be 384 MtCO 2 e by 2030 (excl. LULUCF). The CAT rates this target as “Insufficient”. The “Insufficient” rating indicates that the Philippines’ unconditional target needs substantial improvements to be consistent with limiting warming to 1.5°C. The Philippines target is at the least stringent end of what would be a fair share of global effort, and is not consistent with the 1.5°C temperature limit, unless other countries make much deeper reductions and comparably greater effort. If all countries were to follow the Philippines’ approach, warming would reach over 2°C and up to 3°C. Since our last assessment, for the Philippines' fair share contribution we have changed both what we are rating and the rating itself. Previously, we rated the Philippines as “2°C compatible”, but this rating was given under our old rating system and in relation to its conditional target (the only one it had at the time). The conditional target actually fell in the “1.5°C compatible” range but was downgraded due to its conditionality (see NDC update section above for further details). The Philippines adopted an unconditional target in its updated NDC. We rate this target against a fair share contribution and find it to be “Insufficient”.",
Philippines,Net zero and other long-term target(s),The Philippines does not have a net zero or long-term target.,
Philippines,2020 target,The Philippines did not set a 2020 target.,
