header,rating,content_text
Australia,Description of CAT ratings,no rating,"The CAT rates each country’s targets and policies against (1) its fair share contribution to climate change mitigation considering a range of equity principles including responsibility, capability and equality, and (2) what is technically and economically feasible using modelled domestic pathways which in absence of a better method are based on global least-cost climate change mitigation. Comparing a country’s fair share ranges and modelled domestic pathways provides insights into which governments should provide climate finance, and which should receive it. Developed countries with large responsibility for historical emissions and high per-capita emissions, must not only implement ambitious climate action domestically but must also support climate action in developing countries with lower historical responsibility, capability, and lower per-capita emissions."
Australia,Overall rating,Insufficient,"The CAT rates Australia’s climate targets, policies and climate finance as “Insufficient”. The “Insufficient” rating indicates that Australia’s climate policies and commitments need substantial improvements to be consistent with the Paris Agreement’s 1.5°C temperature limit. To improve its rating, Australia needs to set a more ambitious 2030 target for emissions reductions, establish policies to reach its objectives, and provide finance to support others."
Australia,Policies and action against modelled domestic pathways,Insufficient,"The government has yet to take the necessary steps to put the country on track to limit global warming to 1.5°C below pre-industrial levels. The government’s current policies are on track to reduce Australia’s total emissions excluding LULUCF 17–21% below 2005 levels by 2030. The government is relying heavily on a LULUCF sink to reach its climate goals, with LULUCF historical and projected sequestration revised significantly upwards in recent years. The Capacity Investment Scheme (CIS), expanded in late 2023, aims to deliver 32 GW of new clean energy capacity by 2030, comprised of 23 GW of variable renewable capacity and 9 GW of dispatchable capacity, such as battery storage, in support of the government’s 82% renewable electricity target. While it is too early to assess the impact of the expanded CIS, progress towards the 82% target is lagging and coal still accounts for nearly half of all generation in Australia. Other promising developments in 2024 include the introduction of the AUD 22.7bn (USD 14.9bn) Future Made in Australia plan, the New Vehicle Efficiency Standard, and an updated National Hydrogen Strategy. The Safeguard Mechanism (SGM), reformed in 2023, is the government’s main policy for reducing industrial emissions. It is too early to assess the impact of the reforms because of the SGM design, however it is already clear that SGM facilities are relying significantly on offsets in place of making direct on-site emissions reduction. The full policies and action analysis can be found here ."
Australia,NDC target against modelled domestic pathways,Insufficient,"The CAT rates Australia’s 2030 NDC target as “Insufficient” when compared to modelled domestic emissions pathways. Australia’s NDC targets emissions 43% below 2005 levels by 2030, including LULUCF. However, this target is dependent on LULUCF sequestration estimates, which fluctuate widely year on year. Excluding LULUCF, this target equates to a reduction of 20% below 2005 levels by 2030. Projections for LULUCF sequestration in 2030 increased nearly fourfold between the government’s 2021 and 2023 projections. This reduces the emissions reduction task for energy, industry, agriculture and waste. The “Insufficient” rating indicates that Australia’s NDC target in 2030 needs substantial improvements to be consistent with modelled domestic pathways limiting warming to 1.5°C. If all countries were to follow Australia’s approach, warming would reach over 2°C and up to 3°C."
Australia,NDC target against fair share,Insufficient,"The CAT rates Australia’s 2030 NDC target as “Insufficient” when compared to its fair share emissions allocation. The “Insufficient” rating indicates that Australia’s NDC target in 2030 needs substantial improvements to be consistent with its fair share of the global mitigation effort to limit warming to 1.5°C. Australia’s target is at the least stringent end of what would be a fair share of global effort and is not consistent with the 1.5°C limit, unless other countries make much deeper reductions and comparably greater effort. If all countries were to follow Australia’s approach, warming would reach over 2°C and up to 3°C. Australia needs to improve its fair share contribution through both strengthened domestic emissions reductions as well as financing additional climate action in developing countries."
Australia,Climate finance,Critically insufficient,"The “Critically insufficient” rating indicates that Australia’s climate finance contributions to date are low and not in line with any interpretation of a fair approach to meeting the Paris Agreement’s 1.5°C limit. At COP28, Australia pledged to stop financing fossil fuel projects abroad within a year. Although the international fossil fuel financing rating improved from “Highly Insufficient” to “Insufficient”, Australia’s overall climate finance rating remained unchanged. To receive a better rating, Australia must increase the level of its international climate finance."
Australia,Land use & forestry,Source,"Australia’s maximum land use, land use change and forestry (LULUCF) net emissions in the last 30 years are greater than 30% of total emissions. The government intends to meet its NDC and net zero target by relying on LULUCF as a carbon sink (see section Forestry in the Policies and actions tab). The government regularly recalculates LULUCF for historical and projected emissions. The extent of these recalculations highlights the uncertainty of this sector: data changes have significant repercussions on Australia’s progress in meeting emissions targets. Continued revision of Australia’s historical and projected LULUCF estimates erodes the ambition of its NDC for fossil fuel and industrial emissions, the main drivers of climate change, and where the government holds the most leverage. Effective climate policies are needed to decarbonise all sectors in line with the 1.5°C temperature limit irrespective of projected LULUCF sequestration, which is inherently uncertain."
Australia,Net zero target,Poor,"We evaluate the net zero target as “Poor”. An updated Net Zero Plan is under development by the government but is yet to be published. Australia’s current long-term emissions reduction plan, also submitted to the UNFCCC as a Long-Term Strategy (LTS), was published in 2021. The LTS sets a net zero emissions target for 2050. Yet the strategy presents scenarios which only reduces emissions by 60% below 2005 excluding LULUCF. It does not introduce any new policies, and relies on global technology trends, carbon offsets and further unknown technology “breakthroughs”. There are also no plans in the document to phase out coal, curb fossil fuel exports, nor to hold heavy polluters accountable. The government legislated its net zero and 2030 targets in September 2022. It is still possible for Australia to get emissions onto a pathway to limit global warming to 1.5℃ this century, but urgent action is required. The full net zero target analysis can be found here ."
Argentina,Overview,no rating,"Under Argentina’s new government, progress in developing and implementing climate policies has taken a step backwards. Among the restructuring and budget cuts in the national public administration, Argentina’s former Ministry of Environment has been demoted to the sub-secretary level, and the continuity of its previous climate policies remains in doubt. Meanwhile, the government continues to invest heavily in fossil fuels, notably a USD 30 billion LNG terminal to export fossil gas out of Vaca Muerta. Overall, CAT rates Argentina’s climate targets and policies as “Critically insufficient”. Under President Milei’s administration which assumed office in December 2023, Argentina’s national government has been substantially restructured, with a focus on reducing the size of the public administration and cutting expenditure. In this process, the former Ministry of Environment has been reduced to the sub-secretary level, under the Secretary of Sport, Tourism and Environment (EcoNews Global, 2023). During his presidential campaign, President Milei had stated he does not believe in man-made climate change and that his government will not support climate policies, including threats to leave the Paris Agreement (Colombo, 2023). While his administration later stated that Argentina will not be leaving the Paris Agreement, during COP29, Argentina recalled its delegation only a few days into the negotiations. Overall the outlook is bleak on Argentine increasing climate ambition for the next four years (Larena, 2024; Spring, 2023). The new government plans to continue developing the Vaca Muerta fossil gas fields, as well as a fossil gas pipeline and the LNG terminal planned by the previous administration. To support these large investments, the government set out an incentive package called RIGI or Incentive Regime for Large Investments (KPMG, 2024). In 2022, emissions in Argentina rebounded above 2019 levels after a sharp drop in 2020 due to COVID-19. This puts Argentina’s 2030 emissions projections under current policies at approximately 15% above its already unambitious 2030 target. Based on a study by UNICEN exploring energy scenarios (Blanco & Keesler, 2022), if Argentina were to implement additional policies to scale-up low carbon energy sources and reduce energy demand, it could get close to its NDC target. However, to be consistent with limiting warming to 1.5°C, Argentina would need to develop more ambitious policies, especially to stop deforestation and reduce livestock-related emissions. Argentina submitted an updated NDC in December 2021 that sets an unconditional target that is only a marginal improvement on the previous iteration. Argentina’s latest target only achieves a “Highly insufficient” rating when compared to required domestic efforts, and to Argentina’s fair share contribution to global climate change mitigation. With emissions (excl. LULUCF) projected to grow significantly after 2022, Argentina is set to miss its NDC target. In the last few months, climate policy has been significantly deprioritised in Argentina. However, there have been some positive developments: After denying climate change and claiming Argentina would exit the Paris Agreement, the Milei administration promised to keep all existing international climate commitments , including both the NDC and long-term strategy (LTS) targets. Subsidies for power and fossil gas have continued to progressively decrease , including plans to mitigate the impact on the most vulnerable groups of the population. However, it is unclear how successful those plans are in protecting these groups. New measures were introduced to reform the power market , in an effort to increase competition and private sector investment. There is much that Argentina could do to increase its climate ambition, including: Re-committing to its existing domestic climate policies and make resources available for their implementation. Phasing out support for upstream oil and fossil gas developments. Setting out a transition plan for the energy sector and revive existing renewables policies such as the RenovAr auction scheme. Setting out a low-carbon transition plan for the land sector, including agriculture, livestock and land use change."
Argentina,Description of CAT ratings,no rating,"The CAT rates each country’s targets and policies against (1) its fair share contribution to climate change mitigation considering a range of equity principles including responsibility, capability and equality, and (2) what is technically and economically feasible using modelled domestic pathways which in absence of a better method are based on global least-cost climate change mitigation. Comparing a country’s fair share ranges and modelled domestic pathways provides insights into which governments should provide climate finance and which should receive it. Developed countries with large responsibility for historical emissions and high per-capita emissions, must not only implement ambitious climate action domestically but must also support climate action in developing countries with lower historical responsibility, capability, and lower per-capita emissions."
Argentina,Overall rating,Critically insufficient,"The CAT rates Argentina’s climate targets and policies together as “Critically insufficient”. The “Critically Insufficient” rating indicates that Argentina’s climate policies and commitments reflect minimal to no action and are not at all consistent with the Paris Agreement’s 1.5°C temperature limit. Argentina is far from meeting its fair share contribution to climate change mitigation. Argentina’s NDC and policies and action are rated as “critically Insufficient” when compared to our modelled domestic pathways. Argentina’s conditional NDC is rated as “Highly Insufficient” compared to our modelled domestic pathways. To achieve its NDC target, Argentina would need to enhance its current policies which at the moment lead to over 4°C of warming by the end of the century. To get a better rating Argentina would need to set more ambitious climate targets and establish associated policies that can curb the growth in national emissions and set them on a downward trend."
Argentina,Policies and action against modelled domestic pathways,Critically insufficient,"We rate Argentina’s policies and actions as “Critically insufficient” when compared to modelled domestic emissions pathways. This rating indicates that Argentina’s climate policies reflect minimal to no action and are not at all consistent with the Paris Agreement’s 1.5°C temperature limit. Argentina’s policies and action rating compared to modelled domestic pathways is now worse than in our previous assessment due to an update in our current policy projections for the agriculture sector. Our latest projections expect higher growth in agricultural and livestock production, leading to higher emissions by 2030. During the second half of 2023 the previous Argentinian government came out with three strategic climate policies: the National Strategy for International Climate Financing 2023, the National Strategy for the Use of Carbon Markets 2023 and the National Strategy for Sustainable Finance, 2023 (ENFS) (Banco Central de la República Argentina, 2023; Government of Argentina, 2023e; MECON, 2023). However, these are so far only high-level documents meant to structure future work on designing climate finance roadmaps and possibly a cap-and-trade system in the Argentinian power and industry sectors. It is unclear how - or whether - the Milei administration will design and implement these policies. In December 2022, Argentina published its latest National Plan for Climate Change Mitigation and Adaptation. The strategy includes climate measures and targets covering all major sectors, including targets for the decarbonisation of the transport sector, incentives to increase energy efficiency in buildings, and measures to reduce food loss and food waste. This strategy, however, does not include any new renewable energy targets, nor any significant measures to reduce emissions from the land sector, especially those linked to livestock. The full policies and action analysis can be found here ."
Argentina,NDC target against modelled domestic pathways,Highly insufficient,"We rate Argentina’s NDC target of “not exceeding the net emission of 349 million tonnes of carbon dioxide equivalent in 2030” from its November 2021 updated NDC as “Highly insufficient” when compared with modelled domestic emissions pathways , or what they will do within their own territory. The “Highly insufficient” rating indicates that Argentina’s NDC target in 2030 leads to rising, rather than falling, emissions and is not at all consistent with limiting warming to 1.5°C. If all countries were to follow Argentina’s approach, warming could reach over 3°C and up to 4°C by end of the century."
Argentina,NDC target against fair share,Highly insufficient,"We rate Argentina’s 2030 NDC target from November 2021 as “Highly insufficient” when compared with its fair share contribution to climate action. The “Highly insufficient” rating indicates that Argentina’s NDC target is not at all consistent with any principle of fairness, like responsibility, capability, or equality. If all countries were to follow Argentina’s approach, warming could reach over 3°C and up to 4°C. The improvement in Argentina’s NDC target rating against fair share since our last update, from “Critically insufficient” to “Highly insufficient”, is not due to Argentina submitting a new and stronger NDC target, but rather due to a literature update to our fair share (FS) ranges, which aligns our equity approaches with international environmental law (Rajamani et al., 2021). It therefore excludes studies based on cost-effectiveness; we also included additional studies to reflect the latest research available in the field. Therefore, this change of ratings does not represent improved climate action on the ground, compared to our previous assessment."
Argentina,Land use & forestry,Source,"Argentina’s average share of emissions from Land Use, Land-Use Change and Forestry (LULUCF) over the past 20 years is more than 20% of the country’s total emissions. Between 2014 and 2019, however, emissions from LULUCF started falling up to as low as to 3% of total emissions, to bounce back to 22% in 2020. This indicates that Argentina’s recent approach to curbing land use emissions may have been working, and would need to be maintained, updated, and reinforced. For more information about forestry activities in Argentina, please see the policies and action section ."
Argentina,Net zero target,Poor,"We evaluate the net zero target as: Poor. In November 2022, Argentina submitted a long-term strategy (LTS) to the UNFCCC that includes a target to reach GHG neutrality by 2050 (Government of Argentina, 2022a). Argentina’s net zero target does not cover most of the good practice elements identified by the CAT net zero methodology . The target explicitly covers all gases and sectors of the economy, but the government has failed to disclose other key information such as the role of carbon dioxide removals."
Rating system,Overview,no rating,"The CAT’s rating method evaluates a broad spectrum of government targets and actions to reduce greenhouse gas emissions in line with the Paris Agreement temperature limit. For each country, we develop: The overall rating: the combination of all the ratings generates an overall rating for the country Rating the policies and action : are governments putting in place real policies and action in line with global least-cost mitigation pathways or fair share principles? Rating the “ domestic target ” or the “ internationally supported target ”: are government promises for targets in their country ambitious with respect to global least-cost mitigation pathways, acknowledging that most developing countries will need support to achieve this level? Rating the “ fair share target ”: is a country doing its fair share? We assess whether government promises for action in their country with their own resources and, if relevant, the financing of action abroad represent a fair contribution to global efforts. Climate finance : for those countries where relevant, we assess whether governments are providing sufficient support for mitigation actions in other countries. The CAT also evaluates a government’s net zero targets where possible, and flags whether greenhouse gas emissions from land use, land-use change and forestry have a high impact on overall emissions. Governments should commit to reducing their own emissions and follow through on those commitments by implementing policies that reduce emissions to meet those targets. These actions in a country can be assessed against what is technically and economically feasible, usually a globally cost-efficient perspective. However, for many countries, what is feasible either falls short of what would be expected of them based on principles of fairness, or is beyond what is possible with domestic resources alone. Fair share principles mean that developed country governments need to support developing countries in achieving the global mitigation goals. Our new assessment framework therefore combines both fair share and cost-efficient mitigation perspectives to assess the different components of government targets and actions. With this framework we identify whether: Government promises for targets and action in its country are ambitious with respect to global least-cost mitigation pathways, acknowledging that most developing countries will need support to achieve this level Government promises for action in its country with its own resources and, if relevant, the financing of action abroad represent a fair contribution to global efforts Developed country governments are providing sufficient support to developing countries OR developing countries are making plans to use support provided by developed countries Governments are putting in place real policies and action in line with global least-cost mitigation pathways or fair share principles and are on track to meeting their promises. CAT uses five rating categories for its overall rating and the different elements: The “1.5°C Paris Agreement compatible” rating indicates that a country’s climate policies and commitments are consistent with the Paris Agreement’s 1.5°C temperature limit. The “Almost sufficient” rating indicates that a country’s climate policies and commitments are not yet consistent with the Paris Agreement’s 1.5°C temperature limit but could be with moderate improvements. The “Insufficient” rating indicates that a country’s climate policies and commitments need substantial improvements to be consistent with the Paris Agreement’s 1.5°C temperature limit. The “Highly insufficient” rating indicates that a country’s climate policies and commitments are not consistent with the Paris Agreement’s 1.5°C temperature limit. For many countries in this category, policies and commitments lead to rising, rather than falling, emissions. The “Critically Insufficient” rating indicates that a country’s climate policies and commitments reflect minimal to no action and are not at all consistent with the Paris Agreement. For the individual rating of targets and action against modelled domestic pathways and the fair share contribution, the categories can be associated with estimates for global warming: If all countries followed the rated country’s approach, warming could be held below—but not well below—2°C for the “Almost sufficient” category. For the “Insufficient” category, the range is 2°C to 3°C, for the “Highly Insufficient” 3°C to 4°C, and for “Critically insufficient” above 4°C. Given that the overall rating is an aggregate of different elements, we do not provide a warming range for it. The CAT focuses its rating on mitigation efforts but recognises that adaptation, and support for adaptation and loss and damage are also vital in meeting the Paris Agreement View the rating method in detail View all countries & sectors"
Indonesia,Overview,no rating,"NOTE: We will update our quantitative assessment of Indonesia’s current policy projections and targets in 2025. This update will incorporate an assessment of key policy documents—such as the National Energy Policy (KEN), National Energy General Plan (RUEN), National Electricity Master Plan (RUKN), Electricity Supply Business Plan (RUPTL), and the Second NDC— all of which are under development by the government and expected to be published in 2025. This current update is a qualitative assessment of recent climate policy developments. Indonesia's climate policy presents a complex and contradictory picture, marked by a clear tension between the country's gradual efforts to promote renewable energy, its continued reliance on fossil fuels, and significant emissions from deforestation. Overall, Indonesia's progress in transitioning to a low-carbon economy remains limited, with little meaningful change across critical sectors. Power generation and industry remain heavily reliant on coal, while demand for palm oil continues to be the primary driver of widespread deforestation and land use sector emissions. Indonesia's overall rating remains ""Critically insufficient."" The current NDC (2022) and the draft 2035 NDC (2024) both present unambitious emission reduction targets as Indonesia can already meet both under existing policies (without the need for additional, more ambitious policies), and the NDCs fail to address the increase in emissions caused by off-grid coal-fired electricity. If kept as is, the draft 2035 NDC would represent a missed opportunity for Indonesia to increase its climate action and set realistically achievable and actually ambitious targets that are aligned with the 1.5˚C warming limit of the Paris Agreement. Under the newly-inaugurated administration of President Prabowo Subianto in October 2024, Indonesia stands at a critical juncture in its climate and energy policies. Some plans developed under the new government's focus on sustaining economic development and enhancing self-sufficiency, particularly through initiatives like the food estate programme that aims to reduce reliance on food imports, raise significant environmental concerns, including potential deforestation, biodiversity loss, and displacement of indigenous communities. In November 2024, the President made ambitious announcements at various high-level international forums about the country's energy transition, pledging to retire all fossil fuel and coal-powered plants within 15 years and achieve net-zero emissions before 2050, a decade earlier than previously indicated. While these announcements signal a positive shift in the country’s energy and climate commitments, the complexity of Indonesia’s power sector and the existing policy and regulatory framework present structural barriers to implementing these pledges quickly. The President’s leadership in reforming the regulatory framework and aligning policies is a prerequisite to achieving these targets. The November 2022 Just Energy Transition Partnership (JETP) Joint Statement between Indonesia and the International Partners Group (IPG) marked a milestone in international climate cooperation. The partnership aims to increase renewables to 44% of the on-grid power mix by 2030 (from 15% in 2023) and reach net-zero on-grid emissions by 2050 through: 1) early retirement and managed phase-out of coal plants and 2) supporting the upscaling of renewable power. However, several concerns about the overall targets and plans outlined in the 2023 Comprehensive Investment and Policy Plan (CIPP) have emerged, mainly due to target misalignment with the 1.5°C pathway, insufficient funding, and a lack of just transition plans for impacted communities. Indonesia's emissions from land-use, land-use change, and forestry (LULUCF), also known as forestry and other land use (FOLU), have accounted for nearly half of the country's total emissions over the past 20 years, reaching around 1 GtCO 2 e per year, with palm oil-driven deforestation the biggest cause. Indonesia aims to reach a net negative 140 MtCO 2 e in GHG emissions by 2030 under its FOLU Net Sink programme. However, given current LULUCF emission trends and policy projections estimating an increase in emissions of around 920 MtCO 2 e per year in 2030, it is uncertain how Indonesia will achieve such steep reductions within this short timeframe. In August 2024, Indonesia released a draft of its Second Nationally Determined Contribution (SNDC) for public consultation, which includes updated 2030 targets and new 2035 climate goals. The draft unconditional target reflects minimal climate action, while the conditional pathways are misaligned with the CAT’s global least-cost 1.5°C pathway. These conditional pathways rely heavily on delaying significant action until emissions peak in 2035, followed by steep reductions to reach net zero by 2060—an approach that lacks credibility given the inadequate current policies in place and poses a substantial risk of not being achieved without disruptive policy measures, substantial international support, and favourable external factors. For further reading on the preliminary analysis of Indonesia's new climate goals, see our blog . Indonesia's current policies lead to a strong increase in emissions towards 2030 and do not yet put it on a low-carbon trajectory that uses its vast renewable energy potential. Key measures needed for strengthening Indonesia’s climate action and substantiating the President’s recent ambitious announcements include: Aligning energy transition targets and implementation with the Paris Agreement: align JETP targets with the 1.5°C pathway, which, based on CAT’s Paris-aligned benchmarks for the power sector , requires Indonesia to generate at least 55%—and ideally up to 82%—of its energy from renewables by 2030. This calls for expediting the passage of the New and Renewable Energy Bill and establishing a supportive regulatory environment by implementing policies that lower barriers to renewable investment, such as improving the existing renewable energy procurement processes and power purchase agreements within the state-owned electricity company (PLN: Perusahaan Listrik Negara ), amending coal-favouring policies, and reforming fossil fuel subsidies in a just and equitable manner. Strengthening forest protection and governance to promote sustainable land use management: enhance safeguards against deforestation by upgrading the Presidential Instruction No. 5 of 2019—which imposes a permanent moratorium on deforestation in primary forests and peatlands exploitation—to a legally binding law or presidential regulation for stronger enforcement, while expanding these protections to cover designated concession areas and secondary forests. In addition, improve the robustness of Indonesian Sustainable Palm Oil (ISPO) certification to minimise the impact of biofuels development on deforestation and biodiversity, especially in light of the upcoming plans to increase the biodiesel blend from 35% (B35) to 40-50% (B40-B50). Evaluating environmentally harmful development programmes: conduct thorough assessments of mega-projects like the food estate programme (aimed at reducing food imports), and the relocation of the capital from Jakarta to Nusantara in Kalimantan, to prevent environmental degradation, biodiversity loss, and displacement of indigenous communities. Ensure compliance with laws that protect indigenous land rights and explore sustainable alternatives that promote food security without harming ecosystems, e.g. through nutritious crop diversification, food distribution improvement, and investment in sustainable practices. Ensuring a just transition by developing operational plans and securing international support: develop clear plans to operationalise the just transition framework and allocate sufficient funds to support affected workers and communities during the coal phase-out, by prioritising reskilling, providing social protection packages, and pushing for economic diversification measures away from coal exports. This can be supported by actively engaging with international partners to secure financial and technical support through mechanisms like JETP. Despite the uncertain outlook and mixed progress in the development of policies and targets, there have been several positive developments worth highlighting: JETP CIPP 2024 updates featuring new investment focus areas and promising progress: the JETP Secretariat is preparing the 2024 Comprehensive Investment and Policy Plan (CIPP), which will include new investment focus areas in energy efficiency and electrification, while integrating the once-overlooked off-grid coal emissions into the technical modelling. The updated CIPP will also highlight advances in financing progress, project approvals, and forthcoming policy reforms. Green affordable housing and energy efficiency mandates: through the Indonesia Green Affordable Housing Program (IGAHP), Indonesia aims to build and retrofit one million green housing units by 2030, with a potential emissions reduction of 19-36 MtCO 2 , and achieve net-zero housing by 2050. With the residential sector making up around 80% of building energy demand, this initiative could play a crucial role in lowering emissions as the country’s middle class continue to grow. A 2023 government regulation also mandates energy efficiency in public buildings and for large energy consumers, reinforcing efforts in reducing buildings sector emissions. Public transit electrification and expansion : efforts to extend the Mass Rapid Transit (MRT), Light Rail Transit (LRT), and KRL Commuter Line networks are underway in greater Jakarta, with an LRT system also being considered for Bali—a positive step towards improving the currently limited public transit coverage in Indonesian cities. The Bus Rapid Transit (BRT) network is expanding to six pilot cities, with TransJakarta (BRT operator in Jakarta), leading the way by committing to fully electrify its 10,000 bus fleet by 2030, promoting low-carbon public transportation and improving urban air quality. Indonesia must urgently reconcile its economic development ambitions with the pressing need to reduce emissions and protect its forests and biodiversity. By adopting stronger climate policies and targets, leveraging international support, and committing to a just transition, Indonesia can work towards aligning its climate action with the Paris Agreement and make a significant contribution to global climate mitigation efforts. See our Policies and action section for more information."
Indonesia,Description of CAT ratings,no rating,"The CAT rates each country’s targets and policies against (1) its fair share contribution to climate change mitigation considering a range of equity principles including responsibility, capability and equality, and (2) what is technically and economically feasible using modelled domestic pathways which, in absence of a better method, are based on global least-cost climate change mitigation. Comparing a country’s fair share ranges and modelled domestic pathways provides insights into which governments should provide climate finance and which should receive it. Developed countries with large responsibility for historical emissions and high per-capita emissions, must not only implement ambitious climate action domestically but must also support climate action in developing countries with lower historical responsibility, capability, and lower per-capita emissions."
Indonesia,Overall rating,Critically insufficient,"The CAT rates Indonesia’s climate targets and policies “Critically Insufficient”. which indicates that Indonesia’s climate policies and commitments currently reflect minimal action and are not at all consistent with the Paris Agreement’s 1.5°C temperature limit. Under Indonesia’s current targets and policies, emissions will continue to rise and are consistent with more than 4°C warming. Indonesia is far from meeting its fair share contribution to climate change mitigation. Indonesia’s unconditional and policies and action are rated as “Critically insufficient” when compared to its fair share, respectively. Indonesia’s conditional NDC is rated as “Critically Insufficient” considering modelled domestic pathways. As a country with lower responsibility, capability, and per-capita emissions, Indonesia should receive international support to set an ambitious conditional NDC target beyond its national fair share and implement the policies necessary to achieve it."
Indonesia,Policies and action  against fair share,Critically insufficient,"The CAT rates Indonesia’s policies and actions “Critically Insufficient” when compared to their fair share contribution to climate change mitigation. The “Critically Insufficient” rating indicates that Indonesia’s climate policies and action reflect minimal action and are not at all consistent with the Paris Agreement’s 1.5°C temperature limit. In our 2023 assessment, current policy projections increased by around 300 MtCO 2 e in 2030 compared to the previous 2022 assessment, driven by a huge increase in 2022 emissions and quantification of emissions from Indonesia’s off-grid coal power pipeline. This figure remains unchanged in this update, as we made no quantitative adjustments in this round. The JETP enhances ambition beyond national plans, but still fails to put Indonesia on a Paris-compatible decarbonisation pathway. To be 1.5°C compatible, Indonesia needs to generate at least 55% of its power from renewables and up to 80% by 2030, for which Indonesia will need significant financial support to reach these levels. Indonesia’s ETS and the forthcoming carbon tax are promising developments that can help drive its energy transition if implemented well. The Indonesia Carbon Exchange (IDXCarbon) was officially launched in 2023, supporting the expansion of Indonesia’s ETS to cover 99 coal plants in 2023, and up to 146 coal plants in the first quarter of 2024. There have been some improvements to the regulatory environment for renewables (reform of tariff structure in Presidential Regulation No. 112 of 2022) but policies to support low-carbon development in Indonesia need strengthening to realise their full mitigation potential and to see the global drop in prices for renewable technologies reflected in generation costs (local content requirements, contract terms, and coal price cap). The full policies and action analysis can be found here."
Indonesia,Conditional NDC target against modelled domestic pathways,Critically insufficient,"We rate Indonesia’s conditional NDC target as “Critically insufficient” when compared to modelled domestic pathways. The “Critically insufficient” rating indicates that Indonesia’s internationally supported target in 2030 reflect minimal to no action and are not at all consistent with modelled domestic pathways limiting warming to 1.5°C temperature. If all countries were to follow Indonesia’s approach, warming would exceed 4°C. The CAT’s assessment of Indonesia’s total fair share contribution takes into account its emissions reduction target and its climate finance."
Indonesia,Unconditional NDC target against fair share,Critically insufficient,"We rate Indonesia’s unconditional target as “Critically insufficient” when compared to its fair share emissions allocation. This rating indicates that Indonesia’s fair share target in 2030 reflects minimal to no action and is not at all consistent with its fair share of the global mitigation effort to limit warming to 1.5°C. If all countries were to follow Indonesia’s approach, warming would exceed 4°C."
Indonesia,Land use & forestry,Source,"Indonesia’s emissions from land-use, land-use change and forestry have accounted for almost half of the country’s total emissions over the last 20 years. Indonesia has improved efforts in this sector and managed to continue the decreasing trend of annual tree cover loss in the last five years. Reducing emissions from deforestation is a vital part of Indonesia’s climate action."
Indonesia,Net zero target,Information incomplete,The CAT does not yet evaluate Indonesia’s net zero target given its preliminary nature and lack of more detailed information . Indonesia has not yet communicated an explicit net zero target but explores scenarios that could lead to net zero by 2060 or sooner in its long-term strategy (LTS) submitted to the UNFCCC in July 2021.
